,popularity
71542,65
494170,16
6658,0
390565,0
131574,60
506125,9
430530,23
476524,14
579923,23
423247,25
284019,12
216550,35
375912,6
567782,31
220880,3
470349,44
458994,23
133654,0
364419,11
388929,52
269581,12
214228,31
485213,37
283651,13
267227,26
425368,47
392187,10
489455,29
197791,42
243865,43
520478,13
523735,24
103910,48
442181,46
415383,28
18025,0
39359,27
415144,38
93943,61
300107,51
536077,39
34666,36
185819,3
365958,24
143374,25
16013,10
543560,2
400163,7
148216,28
20001,0
61834,49
188936,0
4778,1
445368,20
361181,4
97041,14
418615,25
567220,43
246486,32
264611,27
158386,36
341734,36
203490,16
212195,1
534846,24
326458,28
363494,26
17531,0
472912,30
38632,49
150119,41
465081,28
33052,25
450483,57
139573,17
293156,52
227333,10
112,0
288110,5
418833,22
509061,25
37245,26
576815,14
169615,22
467395,1
178933,58
51379,37
60942,48
520051,12
449049,33
316816,7
161518,3
433703,38
438020,61
231469,36
164502,10
93845,75
281779,18
120556,40
70819,56
285961,0
186443,54
172534,41
190782,19
527175,28
521785,18
151444,38
76804,1
426514,49
24410,1
82271,70
164950,6
447707,27
449124,41
447507,22
515871,5
549728,26
251540,6
119417,72
146793,30
305501,2
119199,63
28172,8
178291,44
245857,58
112948,36
316857,21
56049,43
295864,0
160601,8
293842,22
88993,33
313955,2
79523,13
540565,56
380472,3
571163,19
323868,30
57889,49
345345,5
585453,2
170590,27
558855,50
511154,0
501677,10
294198,52
387618,37
506612,10
369863,47
516259,8
168445,41
384236,13
257011,69
276773,41
315493,28
468178,58
467892,54
568965,56
53254,41
357842,35
32000,25
108382,37
343490,30
129844,55
136212,0
166906,34
237350,47
125882,18
232921,21
12598,3
204339,32
78685,6
582854,33
160088,1
533402,5
204748,31
419889,30
22212,0
311538,39
30482,13
402438,27
74986,0
410019,16
356190,18
2475,1
24207,0
509543,27
505242,1
50286,39
140906,23
232192,1
18205,0
267537,30
468732,64
507631,22
482002,1
252326,7
258650,2
235824,28
556903,40
477221,32
523911,40
355331,3
103670,36
298966,26
493974,13
492360,37
420004,29
160347,0
299731,35
99502,29
513241,0
503470,28
25728,13
423388,22
68076,51
361031,16
468025,54
208278,42
187688,62
49321,37
454520,40
271096,20
451136,54
363056,25
528953,34
375147,1
424798,33
36663,44
152457,27
236884,40
252768,27
94142,78
339918,15
79946,61
410672,9
498566,34
413055,21
389697,61
338451,16
182393,19
458682,17
369394,31
43941,43
383054,13
491449,26
545140,17
404182,25
123159,1
278241,39
93619,11
389086,59
7710,0
265538,0
275025,40
392585,25
268516,25
184061,44
264605,30
490349,39
239937,22
351008,54
354200,20
520164,21
133942,0
438921,58
576031,54
369095,32
360473,1
2302,1
350577,37
62636,55
299676,35
527891,37
209531,44
400603,8
552678,37
539416,43
296270,4
379239,45
296086,1
402165,23
315295,26
542362,11
14649,0
160513,2
298791,36
404912,49
542152,28
493716,15
100967,33
282179,25
4661,0
334532,31
364947,20
258787,36
268284,3
135913,0
113809,3
311764,35
581951,34
237255,46
491304,19
15547,0
534601,16
99603,23
100033,51
235615,27
268696,11
174462,25
537252,3
190509,25
385483,16
195535,39
524992,25
131088,58
560412,36
307122,46
431021,19
116401,4
168443,18
451307,60
78307,0
333832,42
144761,32
297517,17
173017,0
46528,67
431695,27
307733,11
472543,22
484989,37
492312,48
202599,12
210111,0
23796,8
19071,0
205049,32
293644,24
568781,42
281169,31
524422,16
178974,30
517663,10
422561,20
441777,42
282316,15
212683,5
518212,9
586211,10
435291,38
435325,50
337057,57
269933,36
564990,1
180874,31
428820,14
164608,35
335523,46
436507,41
266137,7
387726,42
26619,18
149652,31
237614,48
433913,31
79371,75
166828,8
561041,45
258557,4
297309,31
2198,0
516151,2
340480,28
482498,2
514297,0
198780,37
146452,34
549477,18
285109,50
62038,46
200622,36
546201,0
584512,41
199332,25
128900,47
473424,23
451527,0
380378,31
6606,0
569252,50
259299,5
168599,36
103201,34
31889,28
20190,0
224166,30
310140,15
449842,41
457290,13
356352,46
71008,52
552279,16
290596,9
571604,16
51867,47
504921,13
369904,42
465790,29
462941,53
448101,34
489844,44
188795,75
260366,16
3369,3
298770,34
482599,11
116825,22
236136,20
68687,58
502365,24
381554,59
349368,31
46787,49
376798,29
348269,27
188085,64
542501,12
292539,51
58658,55
460605,23
478477,49
65807,53
441519,44
112599,37
60763,52
21761,0
475865,54
438491,56
137963,12
40337,0
350530,42
453452,26
395886,35
582311,27
11352,0
567622,35
510151,20
146337,28
545437,22
531145,54
119860,22
169434,39
565054,3
401435,24
484621,16
30539,49
357526,21
80596,9
303393,47
553967,39
84721,0
3124,0
310644,30
347045,28
1225,0
564819,0
423956,34
299150,32
124389,0
451688,9
163023,24
81475,10
487578,28
272773,33
461460,35
412841,54
266888,5
532379,0
566184,24
3288,0
12292,11
487594,33
494801,15
260904,33
477208,22
221492,9
379877,50
214198,24
5793,0
326890,29
515317,0
376473,24
406872,3
460051,21
323753,30
486046,36
453780,24
529165,37
250457,5
444414,57
533502,9
517154,3
94893,2
300839,52
360711,10
208463,31
442080,36
350825,1
263800,30
387670,31
312530,36
359620,35
560066,49
143701,29
524947,31
268754,25
359663,19
96280,0
133448,0
435044,40
523384,30
556338,42
501688,3
79834,7
455584,51
94287,76
271986,11
187067,51
323052,25
143474,24
389592,45
313661,0
413271,19
180727,29
333319,33
576660,9
120147,35
148417,13
152887,39
437996,65
68781,56
399558,59
280282,1
352083,50
525274,33
38374,25
98479,27
267517,12
286626,48
20657,7
194131,36
333232,45
273955,42
500345,45
353314,3
385286,25
302707,44
36230,23
572271,26
153563,37
335802,46
279506,66
190526,24
329551,35
20932,0
78991,1
545687,44
251275,25
262611,12
378411,19
373611,44
483032,38
337599,0
502825,19
441612,35
174456,54
60975,47
101704,14
337517,62
245551,20
54263,41
326614,27
474991,36
234078,19
399311,53
161134,0
360838,3
231741,3
124966,3
13702,0
323383,36
374124,54
207688,19
235174,36
336697,61
524392,19
305982,11
446962,30
237925,42
90586,72
395688,26
210276,37
6738,0
475170,37
563613,20
264976,42
399351,50
132303,0
402986,10
203165,5
464750,0
511550,0
58295,42
550729,32
491395,25
275784,39
149491,33
136456,0
372392,40
294554,30
307418,28
329652,34
481566,0
331643,21
3762,1
534366,9
575135,40
183796,25
239905,6
529813,37
449810,48
461019,34
347861,21
174762,47
275891,24
201308,0
580944,19
328318,14
137897,15
586,0
219841,1
340430,28
520642,20
336043,57
103800,29
290698,16
128645,46
114171,62
445084,15
138777,9
488396,59
184164,43
421021,30
187052,51
315906,1
179757,4
365322,20
67554,63
389381,47
146066,32
155653,46
500529,52
343378,27
250152,4
31938,27
385110,18
187979,50
39725,5
551426,26
327072,29
35838,33
251743,27
55302,39
295156,31
252165,15
549341,29
107243,44
263756,29
198130,54
108479,23
519573,22
166246,35
15413,1
328652,12
281509,6
124858,0
161855,4
456464,49
457818,23
314095,2
173279,24
124928,1
398927,43
196183,20
195614,35
464372,0
168822,22
222718,36
136301,0
308201,9
403395,30
66663,57
313175,48
327070,29
320062,15
583239,33
418839,20
223504,9
233141,22
8613,0
3715,0
248701,2
297306,17
288424,5
556571,29
333543,42
186026,24
336363,2
245276,17
522918,17
404820,43
456819,58
181051,12
552652,16
253502,39
441340,34
380973,55
323041,28
132033,5
272209,36
131018,0
97334,2
55925,46
318960,8
241458,27
178740,40
440037,16
123507,0
583820,48
12555,1
504491,38
331039,38
439165,65
115029,7
371005,31
310324,28
469553,25
568092,33
