,acousticness,loudness,energy,explicit
51190,0.653,-16.85,0.159,0
7623,0.98,-5.135,0.404,0
319225,0.187,-12.495,0.318,0
345358,0.995,-31.031,0.0199,0
312468,0.889,-11.611,0.172,0
215474,0.313,-10.323,0.447,0
137839,0.965,-22.86,0.0597,0
235391,0.322,-13.635,0.457,0
172699,0.00145,-4.443,0.885,0
95473,0.951,-11.369,0.308,0
55649,0.274,-10.878,0.324,0
229441,0.152,-5.147,0.789,0
211779,0.86,-8.999,0.401,0
585215,0.0839,-6.978,0.539,1
131604,0.101,-3.304,0.918,0
277942,0.663,-10.287,0.52,0
226683,0.0229,-13.325,0.65,0
496162,0.757,-8.973,0.58,0
258127,0.00534,-5.865,0.612,0
140811,0.317,-6.805,0.688,0
135302,0.976,-11.939,0.295,0
484488,0.241,-7.806,0.432,0
204064,0.731,-6.573,0.66,0
476603,0.278,-9.683,0.515,0
66737,0.0301,-13.577,0.582,0
394399,0.639,-12.346,0.423,0
114834,0.17,-4.668,0.616,1
27187,0.956,-21.088,0.129,0
76494,0.895,-15.084,0.188,0
201909,0.585,-13.056,0.627,0
120719,0.0145,-6.476,0.804,0
47466,0.00356,-8.748,0.646,0
192952,0.735,-7.258,0.794,0
260083,0.109,-10.823,0.794,0
306386,0.977,-16.33,0.147,0
490524,0.8,-9.71,0.492,0
426851,0.285,-15.776,0.316,0
574658,0.874,-18.195,0.0935,0
571523,0.374,-11.626,0.302,0
195777,0.434,-11.86,0.516,0
483972,0.594,-15.366,0.527,0
264613,0.0126,-3.716,0.88,0
488726,0.00171,-11.946,0.372,0
292373,0.114,-7.834,0.571,0
316988,0.587,-10.862,0.337,0
282704,0.0793,-11.736,0.673,0
407071,0.994,-24.352,0.0945,0
81549,0.0629,-4.773,0.719,0
575104,0.716,-6.98,0.524,0
258098,0.00315,-6.71,0.62,0
267235,0.555,-6.965,0.663,0
179457,0.993,-13.158,0.272,0
363629,0.686,-12.868,0.672,0
101208,0.000597,-15.213,0.431,0
554141,0.0785,-7.693,0.727,0
464704,0.88,-10.627,0.382,0
43320,0.422,-10.765,0.711,0
362561,0.611,-4.554,0.816,0
376146,0.648,-11.841,0.413,0
273755,0.00479,-5.374,0.877,0
340871,0.31,-9.481,0.465,0
356832,0.0672,-4.505,0.895,0
307249,0.898,-15.328,0.279,0
574993,0.278,-5.619,0.601,0
580833,0.00512,-21.01,0.432,0
164181,0.936,-23.896,0.425,0
57356,0.948,-21.35,0.0408,0
458561,0.006,-6.19,0.65,0
298386,0.0131,-7.336,0.738,0
475078,0.467,-11.375,0.428,0
368612,0.012,-13.826,0.773,0
102545,0.267,-6.142,0.897,0
535128,0.451,-6.949,0.756,0
332180,0.18,-12.008,0.65,0
554138,0.167,-7.058,0.799,0
565753,0.877,-15.206,0.0594,0
541570,0.000703,-12.935,0.683,0
469287,0.00763,-10.056,0.593,0
95266,0.532,-19.736,0.208,0
291041,0.682,-8.365,0.63,0
303493,0.116,-5.816,0.679,0
167137,0.173,-9.172,0.738,0
74166,0.0884,-9.183,0.707,0
351530,0.0467,-6.095,0.653,0
529726,0.36,-8.918,0.479,0
319059,0.887,-21.272,0.162,0
331191,0.526,-7.306,0.399,0
117062,0.737,-12.972,0.422,0
143048,0.65,-5.455,0.648,0
407995,0.511,-7.88,0.725,0
300216,0.00404,-12.464,0.915,0
268320,0.239,-7.468,0.894,0
104566,0.0824,-11.366,0.703,0
382367,0.292,-7.849,0.592,1
336792,0.537,-7.918,0.43,0
454469,0.00748,-3.859,0.839,0
122339,0.979,-22.04,0.0735,0
296495,0.913,-18.156,0.122,0
126013,0.706,-14.221,0.336,0
78520,0.171,-2.467,0.921,0
82810,7.23e-05,-7.749,0.948,0
322261,0.55,-5.002,0.555,0
392465,0.693,-5.694,0.683,0
517932,0.475,-5.892,0.821,0
329753,0.221,-10.538,0.475,0
470204,0.16,-5.428,0.804,0
362484,0.0155,-4.857,0.922,0
44761,0.494,-12.086,0.546,0
392837,0.423,-15.434,0.495,0
161820,0.00738,-10.873,0.449,0
239489,0.851,-10.058,0.53,0
257018,0.0287,-5.089,0.786,0
426688,0.497,-3.585,0.843,0
455961,0.138,-2.976,0.954,0
111493,0.572,-7.194,0.716,0
432830,0.453,-8.404,0.484,0
459781,0.45,-8.432,0.464,0
287728,0.686,-10.778,0.7,0
146285,0.817,-20.491,0.267,0
102847,0.684,-20.34,0.16,0
80968,0.105,-5.632,0.595,0
146386,0.534,-7.136,0.731,0
126655,0.000235,-11.375,0.729,0
302868,0.000907,-6.349,0.856,0
517275,0.72,-6.37,0.492,0
151043,0.628,-3.94,0.702,0
42770,0.0164,-13.609,0.525,0
90601,0.0105,-7.41,0.966,0
48368,0.824,-9.512,0.374,0
381645,0.206,-5.085,0.794,0
52150,0.132,-8.284,0.82,0
305709,0.99,-20.518,0.162,0
424527,0.871,-12.33,0.253,0
465311,0.766,-13.065,0.391,0
280462,0.993,-15.715,0.233,0
368938,0.709,-11.107,0.323,0
347496,0.0901,-13.916,0.375,0
184112,0.11,-7.52,0.535,0
178994,0.811,-7.564,0.438,0
154981,0.21,-8.391,0.512,0
91942,0.127,-22.691,0.189,0
535356,0.406,-10.903,0.488,0
508512,0.000117,-5.718,0.928,0
523040,0.746,-8.396,0.61,0
271665,0.00524,-6.506,0.975,0
24742,0.984,-17.486,0.0927,0
16987,0.926,-19.852,0.182,0
38261,0.938,-14.347,0.228,0
542783,0.158,-2.775,0.717,0
226080,0.226,-7.463,0.955,0
458412,0.602,-7.126,0.737,0
40516,0.475,-12.59,0.481,0
393207,0.593,-5.092,0.513,0
353612,0.694,-18.855,0.177,0
367169,0.236,-11.622,0.372,0
202230,0.845,-17.751,0.138,0
373061,0.888,-9.98,0.382,0
111461,0.42,-5.077,0.502,0
412141,0.316,-8.83,0.56,0
530468,0.608,-5.184,0.621,0
489942,0.312,-7.425,0.653,0
564159,0.356,-13.314,0.552,0
421443,0.677,-6.031,0.374,0
312639,0.261,-5.897,0.662,0
47458,0.103,-14.054,0.63,0
398308,0.0284,-4.354,0.773,1
125679,0.915,-10.892,0.651,0
